,Program Name,Sponsor,Borough,Zipcode,Phone,Location 1,latLon,Lat,Lon
0,A PHILIP RANDOLPH SENIOR CENTER,UNITED BLOCK ASSOCIATION INC,MANHATTAN,10039,212-283-7904,"108 146TH STREET
MANHATTAN, NY 10039
(40.82123477265024, -73.93611928704553)","40.82123477265024, -73.93611928704553",40.82123477265024,-73.93611928704553
1,ABE STARK SENIOR CENTER,BERGEN BASIN COMM DEV CORP/MILLENNIUM DEV CORP,BROOKLYN,11236,718 272-9515,"10315 FARRAGUT ROAD
BROOKLYN, NY 11236
(40.64962602084508, -73.89935633321575)","40.64962602084508, -73.89935633321575",40.64962602084508,-73.89935633321575
2,ALLEN COMMUNITY SENIOR CITIZENS CENTER,ALLEN AME CHURCH/ALLEN COMM SR CENTER,QUEENS,11434,718 658-0980,"166 01 LINDEN BOULEVARD
QUEENS, NY 11434
(40.6769452621142, -73.77530690169215)","40.6769452621142, -73.77530690169215",40.6769452621142,-73.77530690169215
3,ALPHA PHI ALPHA SENIOR CENTER,ALPHA PHI ALPHA SENIOR CITIZENS CENTER INC,QUEENS,11411,718 528-8238,"220 01
QUEENS, NY 11411
(40.694293339066405, -73.73568329125084)","40.694293339066405, -73.73568329125084",40.694293339066405,-73.73568329125084
4,ARC FT WASHINGTON SENIOR CENTER,ARC XVI FORT WASHINGTON INC,MANHATTAN,10033,212-781-5700,"4111 BROADWAY
MANHATTAN, NY 10033
(40.845160338750205, -73.93878884162382)","40.845160338750205, -73.93878884162382",40.845160338750205,-73.93878884162382
5,ARTURO SCHOMBERG SENIOR CENTER,INSTITUTE FOR THE PUERTO RICAN HISPANIC ELDERLY,BRONX,10456,718-842-6880,"1315 FRANKLIN AVENUE
BRONX, NY 10456
(40.83227391954567, -73.90150815233032)","40.83227391954567, -73.90150815233032",40.83227391954567,-73.90150815233032
6,ASSOC OF BLACK SOCIAL WORKERS SR CENTER,ASSOCIATION OF BLACK SOCIAL WORKERS INC,MANHATTAN,10025,212-749-8400,"221 107TH STREET
MANHATTAN, NY 10025
(40.80146863587437, -73.96600964199489)","40.80146863587437, -73.96600964199489",40.80146863587437,-73.96600964199489
7,ATLANTIC SENIOR CENTER,RIDGEWOOD BUSHWICK SENIOR CITIZENS COUNCIL INC,BROOKLYN,11207,718 345-7994,"70 PENNSYLVANIA AVENUE
BROOKLYN, NY 11207
(40.67631839764981, -73.8970512344147)","40.67631839764981, -73.8970512344147",40.67631839764981,-73.8970512344147
8,BORINQUEN PLAZA NUTRITION PROGRAM,RIDGEWOOD BUSHWICK SENIOR CITIZENS COUNCIL INC,BROOKLYN,11206,718 782-6334,"80 SEIGEL STREET
BROOKLYN, NY 11206
(40.70440344958967, -73.94304831382468)","40.70440344958967, -73.94304831382468",40.70440344958967,-73.94304831382468
9,BOULEVARD SENIOR CENTER,WAYSIDE OUT-REACH DEVELOPMENT INC,BROOKLYN,11207,718-272-6202,"726 STANLEY AVENUE
BROOKLYN, NY 11207
(40.66016058397117, -73.88202347082921)","40.66016058397117, -73.88202347082921",40.66016058397117,-73.88202347082921
10,BRC SENIOR NUTRITION PROGRAM,BOWERY RESIDENTS COMMITTEE INC,MANHATTAN,10002,212-533-2020,"30 DELANCEY STREET
MANHATTAN, NY 10002
(40.71998337345477, -73.99256408705722)","40.71998337345477, -73.99256408705722",40.71998337345477,-73.99256408705722
11,BRONX RIVER SENIOR CENTER,INSTITUTE FOR THE PUERTO RICAN HISPANIC ELDERLY,BRONX,10472,718-617-6334,"1619 174TH STREET
BRONX, NY 10472
(40.83401842171687, -73.87578118908756)","40.83401842171687, -73.87578118908756",40.83401842171687,-73.87578118908756
12,BRONXWORKS E ROBERTS MOORE SR CENTER,BRONXWORKS INC,BRONX,10455,718 299-0300,"515 JACKSON AVENUE
BRONX, NY 10455
(40.81241660332939, -73.90940453238976)","40.81241660332939, -73.90940453238976",40.81241660332939,-73.90940453238976
13,BRONXWORKS EAST CONCOURSE SR CENTER,BRONXWORKS INC,BRONX,10457,718 731-6300,"236 TREMONT AVENUE
BRONX, NY 10457
(40.8488976439402, -73.90498685825524)","40.8488976439402, -73.90498685825524",40.8488976439402,-73.90498685825524
14,BRONXWORKS HEIGHTS SENIOR CENTER,BRONXWORKS INC,BRONX,10453,718 299-0300,"200 TREMONT AVENUE
BRONX, NY 10453
(40.851937644462495, -73.91677282560428)","40.851937644462495, -73.91677282560428",40.851937644462495,-73.91677282560428
15,BROOKS SENIOR CENTER,BROOKS SENIOR CENTER,QUEENS,11435,718-291-3935,"143 22 109TH AVENUE
QUEENS, NY 11435
(40.70119264912154, -73.80979665579099)","40.70119264912154, -73.80979665579099",40.70119264912154,-73.80979665579099
16,CANAAN SENIOR SERVICE CENTER,CANAAN BAPTIST CHURCH OF CHRIST,MANHATTAN,10026,212-876-2638,"10 LENOX AVENUE
MANHATTAN, NY 10026
(40.79865470548344, -73.9520393416854)","40.79865470548344, -73.9520393416854",40.79865470548344,-73.9520393416854
17,CARTER BURDEN LUNCHEON CLUB,THE CARTER BURDEN CENTER FOR THE AGING INC,MANHATTAN,10021,212-535-5235,"351 74TH STREET
MANHATTAN, NY 10021
(40.769627808125975, -73.9561838417809)","40.769627808125975, -73.9561838417809",40.769627808125975,-73.9561838417809
18,CARVER SENIOR CENTER,INSTITUTE FOR THE PUERTO RICAN HISPANIC ELDERLY,MANHATTAN,10029,212-289-2708,"55 102ND STREET
MANHATTAN, NY 10029
(40.790780342989365, -73.95065909778705)","40.790780342989365, -73.95065909778705",40.790780342989365,-73.95065909778705
19,CC INDEPENDENCE PLAZA,CARING COMMUNITY INC,MANHATTAN,10013,212-989-3620,"310 GREENWICH STREET
MANHATTAN, NY 10013
(40.717985519455226, -74.01052225325077)","40.717985519455226, -74.01052225325077",40.717985519455226,-74.01052225325077
20,CCNS BAYSIDE SENIOR CENTER,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,QUEENS,11364,718 225-1144,"221 15
QUEENS, NY 11364
(40.745924680379744, -73.75790275560763)","40.745924680379744, -73.75790275560763",40.745924680379744,-73.75790275560763
21,CCNS CATHERINE SHERIDAN SENIOR CENTER,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,QUEENS,11372,(718)458-4600,"35 24 83RD STREET
QUEENS, NY 11372
(40.75163073936716, -73.88361254528269)","40.75163073936716, -73.88361254528269",40.75163073936716,-73.88361254528269
22,CCNS DELLAMONICA SENIOR CENTER,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,QUEENS,11106,(718)626-1500,"23 56
QUEENS, NY 11106
(40.761699790013324, -73.9316632529567)","40.761699790013324, -73.9316632529567",40.761699790013324,-73.9316632529567
23,CCNS HILLCREST SENIOR CENTER,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,QUEENS,11432,718 722-6095,"168 01B HILLSIDE AVENUE
QUEENS, NY 11432
(40.71311535449007, -73.79282099978928)","40.71311535449007, -73.79282099978928",40.71311535449007,-73.79282099978928
24,CCNS MCGUINESS NORTHSIDE SENIOR CENTER,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,BROOKLYN,11222,718-383-1940,"715 LEONARD STREET
BROOKLYN, NY 11222
(40.728694595953705, -73.95261775307593)","40.728694595953705, -73.95261775307593",40.728694595953705,-73.95261775307593
25,CCNS NORTHSIDE SENIOR CENTER,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,BROOKLYN,11211,718-387-2316,"179 6TH STREET
BROOKLYN, NY 11211
(40.71661768652672, -73.95720664700457)","40.71661768652672, -73.95720664700457",40.71661768652672,-73.95720664700457
26,CCNS OZONE PARK SENIOR CENTER,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,QUEENS,11416,718-847-2100,"103 02 101ST AVENUE
QUEENS, NY 11416
(40.68457809700163, -73.8496016684822)","40.68457809700163, -73.8496016684822",40.68457809700163,-73.8496016684822
27,CCNS SAINT LOUIS SENIOR CENTER,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,BROOKLYN,11213,718-771-7945,"230 KINGSTON AVENUE
BROOKLYN, NY 11213
(40.671881150739445, -73.9419866047767)","40.671881150739445, -73.9419866047767",40.671881150739445,-73.9419866047767
28,CCNS ST CHARLES JUBILEE SENIOR CENTER,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,BROOKLYN,11201,718-855-0326,"55 PIERREPONT STREET
BROOKLYN, NY 11201
(40.695829631477615, -73.99523151776565)","40.695829631477615, -73.99523151776565",40.695829631477615,-73.99523151776565
29,CCNS STEINWAY SENIOR CENTER,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,QUEENS,11105,718-728-8472,"20 43 STEINWAY STREET
QUEENS, NY 11105
(40.780092072491186, -73.90960650023976)","40.780092072491186, -73.90960650023976",40.780092072491186,-73.90960650023976
30,CCNS WOODHAVEN RICHMOND HILL SR. CTR.,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,QUEENS,11421,718-847-9200,"78 15 JAMAICA AVENUE
QUEENS, NY 11421
(40.69176458756573, -73.85702228584978)","40.69176458756573, -73.85702228584978",40.69176458756573,-73.85702228584978
31,CENTER ON THE SQUARE SENIOR CENTER,CARING COMMUNITY INC,MANHATTAN,10011,212-777-3555x1,"20 WASHINGTON SQUARE
MANHATTAN, NY 10011
(40.73171698195202, -73.99756568412317)","40.73171698195202, -73.99756568412317",40.73171698195202,-73.99756568412317
32,CENTRAL HARLEM SENIOR CENTER,"CENTRAL HARLEM SENIOR CITIZENS CENTERS, INC.",MANHATTAN,10030,212-926-4465,"120 140TH STREET
MANHATTAN, NY 10030
(40.81753607088725, -73.93923060454331)","40.81753607088725, -73.93923060454331",40.81753607088725,-73.93923060454331
33,CHRISTOPHER C BLENMAN SENIOR CENTER,FORT GREENE COUNCIL,BROOKLYN,11203,(718) 773-7400,"720 NEW YORK AVENUE
BROOKLYN, NY 11203
(40.656417566307894, -73.9472975511325)","40.656417566307894, -73.9472975511325",40.656417566307894,-73.9472975511325
34,CITIZENS CARE SENIOR CENTER,CITIZENS CARE COMMITTEE INC,MANHATTAN,10035,212-410-0333,"1428 5TH AVENUE
MANHATTAN, NY 10035
(40.80114582750463, -73.94610381629201)","40.80114582750463, -73.94610381629201",40.80114582750463,-73.94610381629201
35,CITY HALL SENIOR CENTER,HAMILTON MADISON HOUSE INC,MANHATTAN,10038,212 788-5580,"100 GOLD STREET
MANHATTAN, NY 10038
(40.71053013983237, -74.00381331091222)","40.71053013983237, -74.00381331091222",40.71053013983237,-74.00381331091222
36,CITY ISLAND SENIOR CENTER,PRESBYTERIAN SENIOR SERVICES,BRONX,10464,718 885-0727,"160 PILOT STREET
BRONX, NY 10464
(40.84127842822532, -73.78383333346935)","40.84127842822532, -73.78383333346935",40.84127842822532,-73.78383333346935
37,COBO MT CARMEL CENTER FOR SR CITIZENS,COUNCIL OF BELMONT ORGANIZATIONS INC,BRONX,10458,718 364-4788,"2405 SOUTHERN BOULEVARD
BRONX, NY 10458
(40.85358144952294, -73.8816503249367)","40.85358144952294, -73.8816503249367",40.85358144952294,-73.8816503249367
38,COMMUNITY LOUNGE SENIOR CENTER,GUSTAVUS ADOLPHUS LUTHERAN CHURCH,MANHATTAN,10010,212-777-8333,"155 22ND STREET
MANHATTAN, NY 10010
(40.73864638709754, -73.98467949234747)","40.73864638709754, -73.98467949234747",40.73864638709754,-73.98467949234747
39,CORSI HOUSE SENIOR CENTER,UNION SETTLEMENT ASSOCIATION INC,MANHATTAN,10029,212-828-6756,"307 116TH STREET
MANHATTAN, NY 10029
(40.79694537628096, -73.93755161623598)","40.79694537628096, -73.93755161623598",40.79694537628096,-73.93755161623598
40,COTHOA LUNCHEON CLUB SENIOR CENTER,COTHOA LUNCHEON CLUB INC,MANHATTAN,10032,212 781-6580,"2005 AMSTERDAM AVENUE
MANHATTAN, NY 10032
(40.83435779004668, -73.94094170784382)","40.83435779004668, -73.94094170784382",40.83435779004668,-73.94094170784382
41,CPC PROJECT OPEN DOOR,CHINESE-AMERICAN PLANNING COUNCIL,MANHATTAN,10013,212-431-9026,"168 GRAND STREET
MANHATTAN, NY 10013
(40.71971359551076, -73.998296154535)","40.71971359551076, -73.998296154535",40.71971359551076,-73.998296154535
42,CPC QUEENS NAN SHAN SENIOR CITIZEN CTR,CHINESE-AMERICAN PLANNING COUNCIL,QUEENS,11354,718 358-3030,"136 18 39TH AVENUE
QUEENS, NY 11354
(40.76862022064671, -73.82719028070687)","40.76862022064671, -73.82719028070687",40.76862022064671,-73.82719028070687
43,CYPRESS HILLS FULTON ST SR CENTER,CYPRESS HILLS-FULTON STREET SR CITIZENS CTR INC,BROOKLYN,11208,718-235-0064,"3208 FULTON STREET
BROOKLYN, NY 11208
(40.68235570952066, -73.87665069212619)","40.68235570952066, -73.87665069212619",40.68235570952066,-73.87665069212619
44,DIANA JONES SENIOR CENTER,RIDGEWOOD BUSHWICK SENIOR CITIZENS COUNCIL INC,BROOKLYN,11206,718 782-3601,"9 NOLL STREET
BROOKLYN, NY 11206
(40.700534719185725, -73.93434090723807)","40.700534719185725, -73.93434090723807",40.700534719185725,-73.93434090723807
45,DOUGLAS LEON SENIOR CENTER,HUNTS POINT MULTI SERVICE CENTER INC,BRONX,10455,718 292-7129,"735 152ND STREET
BRONX, NY 10455
(40.81593122459629, -73.90741946596049)","40.81593122459629, -73.90741946596049",40.81593122459629,-73.90741946596049
46,E. HARLEM CNCL NUTRITION PROGRAM,EAST HARLEM COUNCIL FOR HUMAN SERVICES INC,MANHATTAN,10035,212-722-2205,"150 121ST STREET
MANHATTAN, NY 10035
(40.801420932838546, -73.93844760276065)","40.801420932838546, -73.93844760276065",40.801420932838546,-73.93844760276065
47,EAST HARLEM COAL (JWJ SENIOR CENTER),UNION SETTLEMENT ASSOCIATION INC,MANHATTAN,10029,212-828-6104,"2205 FIRST AVENUE
MANHATTAN, NY 10029
(40.79443629083927, -73.93659922339046)","40.79443629083927, -73.93659922339046",40.79443629083927,-73.93659922339046
48,EAST RIVER SENIOR CENTER,UNION SETTLEMENT ASSOCIATION INC,MANHATTAN,10029,212-828-6107,"402 105TH STREET
MANHATTAN, NY 10029
(40.78887876885116, -73.94045760548931)","40.78887876885116, -73.94045760548931",40.78887876885116,-73.94045760548931
49,EDUCATIONAL ALLIANCE,UNITED JEWISH COUNCIL OF THE EAST SIDE INC,MANHATTAN,10002,212 780-2300,"197 BROADWAY
MANHATTAN, NY 10002
(40.714215401222326, -73.98812347574558)","40.714215401222326, -73.98812347574558",40.714215401222326,-73.98812347574558
50,EILEEN DUGAN SENIOR CITIZENS CENTER,EILEEN DUGAN SENIOR CITIZENS CENTER INC,BROOKLYN,11231,718 596-1956,"380 COURT STREET
BROOKLYN, NY 11231
(40.68129733237577, -73.99645155832968)","40.68129733237577, -73.99645155832968",40.68129733237577,-73.99645155832968
51,ELMCOR SENIOR CENTER,ELMCOR YOUTH & ADULT ACTIVITIES INC,QUEENS,11369,718 457-9757,"98 19
QUEENS, NY 11369
(40.76341327370369, -73.8723788986672)","40.76341327370369, -73.8723788986672",40.76341327370369,-73.8723788986672
52,ELMHURST JACKSON HEIGHTS SENIOR CENTER,INSTITUTE FOR THE PUERTO RICAN HISPANIC ELDERLY,QUEENS,11373,718-478-7171,"75 01
QUEENS, NY 11373
(40.73871040256307, -73.87835115518163)","40.73871040256307, -73.87835115518163",40.73871040256307,-73.87835115518163
53,ENCORE LUNCHEON CLUB,ENCORE COMMUNITY SERVICES,MANHATTAN,10019,212 581-2910,"239 49TH STREET
MANHATTAN, NY 10019
(40.7611084117396, -73.98518406355642)","40.7611084117396, -73.98518406355642",40.7611084117396,-73.98518406355642
54,F0RT GREENE ALBANY SENIOR CENTER,FORT GREENE COUNCIL,BROOKLYN,11213,718-773-2600,"196 ALBANY AVENUE
BROOKLYN, NY 11213
(40.67381761226727, -73.93901618799171)","40.67381761226727, -73.93901618799171",40.67381761226727,-73.93901618799171
55,FGC TERESA MOORE SENIOR CENTER,FORT GREENE COUNCIL,BROOKLYN,11208,347-663-7770,"2702 LINDEN BOULEVARD
BROOKLYN, NY 11208
(40.6691189432547, -73.86387037434672)","40.6691189432547, -73.86387037434672",40.6691189432547,-73.86387037434672
56,FLORENCE SMITH SENIOR SERVICE,CORONA CONGREGATIONAL CHURCH,QUEENS,11368,718 899-0553,"102 19 34TH AVENUE
QUEENS, NY 11368
(40.749678220373596, -73.85304068857687)","40.749678220373596, -73.85304068857687",40.749678220373596,-73.85304068857687
57,FOREST HILLS COMMUNITY HOUSE SENIOR CTR,QUEENS COMMUNITY HOUSE INC.,QUEENS,11375,718-699-1010,"108 25 62ND DRIVE
QUEENS, NY 11375
(40.720707263029794, -73.84628429608335)","40.720707263029794, -73.84628429608335",40.720707263029794,-73.84628429608335
58,FORT GREENE HAZEL BROOKS SENIOR CENTER,FORT GREENE COUNCIL,BROOKLYN,11226,347-435-3287,"951 963 OCEAN AVENUE
BROOKLYN, NY 11226
(40.64650500230408, -73.9571900991437)","40.64650500230408, -73.9571900991437",40.64650500230408,-73.9571900991437
59,FT GREENE GRANT SQUARE SENIOR CENTER,FORT GREENE COUNCIL,BROOKLYN,11216,718-363-3133,"19 GRANT SQUARE
BROOKLYN, NY 11216
(40.67781871387699, -73.95277308626345)","40.67781871387699, -73.95277308626345",40.67781871387699,-73.95277308626345
60,FT GREENE STUYVESANT HEIGHTS SENIOR CTR,FORT GREENE COUNCIL,BROOKLYN,11216,718-230-0824,"69 MCDONOUGH STREET
BROOKLYN, NY 11216
(40.68105009271498, -73.94368927340051)","40.68105009271498, -73.94368927340051",40.68105009271498,-73.94368927340051
61,GAYLORD WHITE SENIOR CENTER,UNION SETTLEMENT ASSOCIATION INC,MANHATTAN,10029,212-828-6055,"2029 SECOND AVENUE
MANHATTAN, NY 10029
(40.7893430012227, -73.94340591000193)","40.7893430012227, -73.94340591000193",40.7893430012227,-73.94340591000193
62,GODDARD-RIVERSIDE SENIOR CENTER,GODDARD-RIVERSIDE COMMUNITY CENTER,MANHATTAN,10024,(212) 873-6600,"593 COLUMBUS AVENUE
MANHATTAN, NY 10024
(40.78819104373895, -73.97088899660672)","40.78819104373895, -73.97088899660672",40.78819104373895,-73.97088899660672
63,GOOD COMPANIONS NUTRITION,HENRY STREET SETTLEMENT,MANHATTAN,10002,212-349-2770,"334 MADISON STREET
MANHATTAN, NY 10002
(40.71329016943547, -73.9830168780469)","40.71329016943547, -73.9830168780469",40.71329016943547,-73.9830168780469
64,GRACE AGARD HAREWOOD SENIOR CENTER,FORT GREENE COUNCIL,BROOKLYN,11238,718-638-6910,"966 FULTON STREET
BROOKLYN, NY 11238
(40.68250232668434, -73.96229483516912)","40.68250232668434, -73.96229483516912",40.68250232668434,-73.96229483516912
65,GRAND COALITION OF SENIORS SENIOR CENTER,GRAND STREET SETTLEMENT INC,MANHATTAN,10002,646-201-4251,"80 PITT STREET
MANHATTAN, NY 10002
(40.718892797836546, -73.98215902487652)","40.718892797836546, -73.98215902487652",40.718892797836546,-73.98215902487652
66,H GILROY SENIOR CENTER,FORT GREENE COUNCIL,BROOKLYN,11233,718-756-8400,"447 KINGSBOROUGH 4TH WALK
BROOKLYN, NY 11233
(40.67555354296421, -73.92487984227631)","40.67555354296421, -73.92487984227631",40.67555354296421,-73.92487984227631
67,HAMILTON GRANGE SENIOR CENTER,CONVENT AVENUE BAPTIST CHURCH,MANHATTAN,10031,212 862-4181,"420 145TH STREET
MANHATTAN, NY 10031
(40.82428749201678, -73.9454252853209)","40.82428749201678, -73.9454252853209",40.82428749201678,-73.9454252853209
68,HANAC ANGELO PETROMELIS SENIOR CENTER,HELLENIC AMER. NEIGHBORHOOD ACTION COMMITTEE,QUEENS,11356,718-961-0344,"13 28 123RD STREET
QUEENS, NY 11356
(40.7849280967543, -73.84181070040347)","40.7849280967543, -73.84181070040347",40.7849280967543,-73.84181070040347
69,HANAC ARCHBISHOP IAKOVOS SENIOR CENTER,HELLENIC AMER. NEIGHBORHOOD ACTION COMMITTEE,QUEENS,11106,718 726-1227,"32 06 21ST STREET
QUEENS, NY 11106
(40.761699790013324, -73.9316632529567)","40.761699790013324, -73.9316632529567",40.761699790013324,-73.9316632529567
70,HANAC LINDSAY SENIOR CENTER,HELLENIC AMER. NEIGHBORHOOD ACTION COMMITTEE,QUEENS,11102,718-626-3035,"27 40 HOYT AVENUE
QUEENS, NY 11102
(40.77152402451418, -73.92643545073543)","40.77152402451418, -73.92643545073543",40.77152402451418,-73.92643545073543
71,HARGRAVE SENIOR CENTER,FIND AID FOR THE AGED,MANHATTAN,10023,212-580-0888,"111 71ST STREET
MANHATTAN, NY 10023
(40.77689512230638, -73.97960095762612)","40.77689512230638, -73.97960095762612",40.77689512230638,-73.97960095762612
72,HOPE GARDENS SENIOR CENTER,RIDGEWOOD BUSHWICK SENIOR CITIZENS COUNCIL INC,BROOKLYN,11221,718-455-3988,"195 LINDEN STREET
BROOKLYN, NY 11221
(40.695365122529765, -73.91752465717728)","40.695365122529765, -73.91752465717728",40.695365122529765,-73.91752465717728
73,HOPE OF ISRAEL SENIOR CENTER,HOPE OF ISRAEL SENIOR CITIZENS CENTER INC,BRONX,10452,718-665-8400,"1068 GERARD AVENUE
BRONX, NY 10452
(40.83212668949963, -73.92219162181591)","40.83212668949963, -73.92219162181591",40.83212668949963,-73.92219162181591
74,HOWARD BEACH SENIOR CENTER,SE QUEENS MULTI SERVICE SR CITIZENS CENTER,QUEENS,11414,718-738-8100,"156 45 84TH STREET
QUEENS, NY 11414
(40.65817022817356, -73.84496263981396)","40.65817022817356, -73.84496263981396",40.65817022817356,-73.84496263981396
75,HUDSON GUILD SENIOR SERVICES,HUDSON GUILD,MANHATTAN,10011,212-760-9800,"119 9TH AVENUE
MANHATTAN, NY 10011
(40.743271886837206, -74.00371917074224)","40.743271886837206, -74.00371917074224",40.743271886837206,-74.00371917074224
76,IPR HE CORONA SENIOR CENTER,INSTITUTE FOR THE PUERTO RICAN HISPANIC ELDERLY,QUEENS,11368,718 639-2000,"108 74 ROOSEVELT AVENUE
QUEENS, NY 11368
(40.749678220373596, -73.85304068857687)","40.749678220373596, -73.85304068857687",40.749678220373596,-73.85304068857687
77,IPR/HE BETANCES SENIOR CENTER,INSTITUTE FOR THE PUERTO RICAN HISPANIC ELDERLY,BRONX,10454,718-401-4901,"401 ST ANNS AVENUE
BRONX, NY 10454
(40.81084054148799, -73.91497438993476)","40.81084054148799, -73.91497438993476",40.81084054148799,-73.91497438993476
78,IPR/HE MILLBROOK SENIOR CENTER,INSTITUTE FOR THE PUERTO RICAN HISPANIC ELDERLY,BRONX,10454,718-401-4901,"201 ST ANNS AVENUE
BRONX, NY 10454
(40.805947017286975, -73.91814002633369)","40.805947017286975, -73.91814002633369",40.805947017286975,-73.91814002633369
79,JACKIE ROBINSON SR CTR AT GRANT HOUSES,CHARLES A WALBURG MULTI SERVICE ORG,MANHATTAN,10027,212-666-4910,"1301 AMSTERDAM AVENUE
MANHATTAN, NY 10027
(40.81261895844028, -73.95678395725452)","40.81261895844028, -73.95678395725452",40.81261895844028,-73.95678395725452
80,JAMES MONROE SENIOR CENTER,INSTITUTE FOR THE PUERTO RICAN HISPANIC ELDERLY,BRONX,10473,(718) 893-3484,"1776 STORY AVENUE
BRONX, NY 10473
(40.823294107219816, -73.86539428799612)","40.823294107219816, -73.86539428799612",40.823294107219816,-73.86539428799612
81,JASA CLUB 76,JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,MANHATTAN,10023,212-712-0170,"120 76TH STREET
MANHATTAN, NY 10023
(40.78026313071462, -73.97760935102303)","40.78026313071462, -73.97760935102303",40.78026313071462,-73.97760935102303
82,JASA STARRETT CITY SENIOR CENTER,JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,BROOKLYN,11239,718 642-1010,"1540 VAN SICLEN AVENUE
BROOKLYN, NY 11239
(40.648017774350464, -73.87750089226721)","40.648017774350464, -73.87750089226721",40.648017774350464,-73.87750089226721
83,JASA THROGS NECK SENIOR CENTER,JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,BRONX,10465,718-823-1771,"2705 SCHLEY AVENUE
BRONX, NY 10465
(40.8214898998314, -73.82743599306302)","40.8214898998314, -73.82743599306302",40.8214898998314,-73.82743599306302
84,JASA WILLIAMSBURG SENIOR CENTER,JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,BROOKLYN,11206,718-388-6865,"202 GRAHAM AVENUE
BROOKLYN, NY 11206
(40.70881892825027, -73.94340945428306)","40.70881892825027, -73.94340945428306",40.70881892825027,-73.94340945428306
85,JOHN PAUL II FRIENDSHIP CENTER,POLISH & SLAVIC CENTER INC,MANHATTAN,10009,212-673-7704,"103 7TH STREET
MANHATTAN, NY 10009
(40.726720275642215, -73.98504788274735)","40.726720275642215, -73.98504788274735",40.726720275642215,-73.98504788274735
86,JSPOA FRIENDSHIP NUTRITION CENTER,JAMAICA SERVICE PROGRAM FOR OLDER ADULTS INC,QUEENS,11433,718-657-6576,"92 33 170TH STREET
QUEENS, NY 11433
(40.698104881734935, -73.7875740339145)","40.698104881734935, -73.7875740339145",40.698104881734935,-73.7875740339145
87,JSPOA ROCKAWAY BLVD SENIOR CENTER,JAMAICA SERVICE PROGRAM FOR OLDER ADULTS INC,QUEENS,11436,718 657-6752,"123 10 143RD STREET
QUEENS, NY 11436
(40.67571820912809, -73.79646501494847)","40.67571820912809, -73.79646501494847",40.67571820912809,-73.79646501494847
88,JSPOA THEODORA JACKSON SENIOR CENTER,JAMAICA SERVICE PROGRAM FOR OLDER ADULTS INC,QUEENS,11433,718 657-6618,"92 47 165TH STREET
QUEENS, NY 11433
(40.698104881734935, -73.7875740339145)","40.698104881734935, -73.7875740339145",40.698104881734935,-73.7875740339145
89,JUDITH WHITE SENIOR CENTER,GREENWICH HOUSE,MANHATTAN,10014,212 242-4140,"27 BARROW STREET
MANHATTAN, NY 10014
(40.73247359734728, -74.00315680583083)","40.73247359734728, -74.00315680583083",40.73247359734728,-74.00315680583083
90,KENNEDY SENIOR CENTER,"CENTRAL HARLEM SENIOR CITIZENS CENTERS, INC.",MANHATTAN,10037,212-926-4871,"34 134TH STREET
MANHATTAN, NY 10037
(40.812690673719295, -73.93971876746738)","40.812690673719295, -73.93971876746738",40.812690673719295,-73.93971876746738
